2018-04-26 18:10:20 status half-installed libpam-runtime:all 1.1.8-3.6ubuntu2
2018-04-26 18:10:20 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2018-04-26 18:10:20 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2018-04-26 18:10:20 install libpam0g:armhf <none> 1.1.8-3.6ubuntu2
2018-04-26 18:10:20 status half-installed libpam0g:armhf 1.1.8-3.6ubuntu2
2018-04-26 18:10:20 status unpacked libpam0g:armhf 1.1.8-3.6ubuntu2
2018-04-26 18:10:20 status unpacked libpam0g:armhf 1.1.8-3.6ubuntu2
2018-04-26 18:10:20 install libpcre3:armhf <none> 2:8.39-9
2018-04-26 18:10:20 status half-installed libpcre3:armhf 2:8.39-9
2018-04-26 18:10:20 status unpacked libpcre3:armhf 2:8.39-9
2018-04-26 18:10:20 status unpacked libpcre3:armhf 2:8.39-9
2018-04-26 18:10:20 install libprocps6:armhf <none> 2:3.3.12-3ubuntu1
2018-04-26 18:10:20 status half-installed libprocps6:armhf 2:3.3.12-3ubuntu1
2018-04-26 18:10:20 status unpacked libprocps6:armhf 2:3.3.12-3ubuntu1
2018-04-26 18:10:20 status unpacked libprocps6:armhf 2:3.3.12-3ubuntu1
2018-04-26 18:10:20 install libselinux1:armhf <none> 2.7-2build2
2018-04-26 18:10:20 status half-installed libselinux1:armhf 2.7-2build2
2018-04-26 18:10:20 status unpacked libselinux1:armhf 2.7-2build2
2018-04-26 18:10:20 status unpacked libselinux1:armhf 2.7-2build2
2018-04-26 18:10:20 install libsemanage-common:all <none> 2.7-2build2
2018-04-26 18:10:20 status half-installed libsemanage-common:all 2.7-2build2
2018-04-26 18:10:20 status unpacked libsemanage-common:all 2.7-2build2
2018-04-26 18:10:20 status unpacked libsemanage-common:all 2.7-2build2
2018-04-26 18:10:20 install libsemanage1:armhf <none> 2.7-2build2
2018-04-26 18:10:20 status half-installed libsemanage1:armhf 2.7-2build2
2018-04-26 18:10:20 status unpacked libsemanage1:armhf 2.7-2build2
2018-04-26 18:10:20 status unpacked libsemanage1:armhf 2.7-2build2
2018-04-26 18:10:20 install libsepol1:armhf <none> 2.7-1
2018-04-26 18:10:20 status half-installed libsepol1:armhf 2.7-1
2018-04-26 18:10:20 status unpacked libsepol1:armhf 2.7-1
2018-04-26 18:10:20 status unpacked libsepol1:armhf 2.7-1
2018-04-26 18:10:20 install libsmartcols1:armhf <none> 2.31.1-0.4ubuntu3
2018-04-26 18:10:20 status half-installed libsmartcols1:armhf 2.31.1-0.4ubuntu3
2018-04-26 18:10:20 status unpacked libsmartcols1:armhf 2.31.1-0.4ubuntu3
2018-04-26 18:10:20 status unpacked libsmartcols1:armhf 2.31.1-0.4ubuntu3
2018-04-26 18:10:20 install libss2:armhf <none> 1.44.1-1
2018-04-26 18:10:20 status half-installed libss2:armhf 1.44.1-1
2018-04-26 18:10:20 status unpacked libss2:armhf 1.44.1-1
2018-04-26 18:10:20 status unpacked libss2:armhf 1.44.1-1
2018-04-26 18:10:20 install libsystemd0:armhf <none> 237-3ubuntu10
2018-04-26 18:10:20 status half-installed libsystemd0:armhf 237-3ubuntu10
2018-04-26 18:10:20 status unpacked libsystemd0:armhf 237-3ubuntu10
2018-04-26 18:10:20 status unpacked libsystemd0:armhf 237-3ubuntu10
2018-04-26 18:10:20 install libtinfo5:armhf <none> 6.1-1ubuntu1
2018-04-26 18:10:20 status half-installed libtinfo5:armhf 6.1-1ubuntu1
2018-04-26 18:10:20 status unpacked libtinfo5:armhf 6.1-1ubuntu1
2018-04-26 18:10:20 status unpacked libtinfo5:armhf 6.1-1ubuntu1
2018-04-26 18:10:20 install libudev1:armhf <none> 237-3ubuntu10
2018-04-26 18:10:20 status half-installed libudev1:armhf 237-3ubuntu10
2018-04-26 18:10:21 status unpacked libudev1:armhf 237-3ubuntu10
2018-04-26 18:10:21 status unpacked libudev1:armhf 237-3ubuntu10
2018-04-26 18:10:21 install libuuid1:armhf <none> 2.31.1-0.4ubuntu3
2018-04-26 18:10:21 status half-installed libuuid1:armhf 2.31.1-0.4ubuntu3
2018-04-26 18:10:21 status unpacked libuuid1:armhf 2.31.1-0.4ubuntu3
2018-04-26 18:10:21 status unpacked libuuid1:armhf 2.31.1-0.4ubuntu3
2018-04-26 18:10:21 install libzstd1:armhf <none> 1.3.3+dfsg-2ubuntu1
2018-04-26 18:10:21 status half-installed libzstd1:armhf 1.3.3+dfsg-2ubuntu1
2018-04-26 18:10:21 status unpacked libzstd1:armhf 1.3.3+dfsg-2ubuntu1
2018-04-26 18:10:21 status unpacked libzstd1:armhf 1.3.3+dfsg-2ubuntu1
2018-04-26 18:10:21 install login:armhf <none> 1:4.5-1ubuntu1
2018-04-26 18:10:21 status half-installed login:armhf 1:4.5-1ubuntu1
2018-04-26 18:10:21 status unpacked login:armhf 1:4.5-1ubuntu1
2018-04-26 18:10:21 status unpacked login:armhf 1:4.5-1ubuntu1
2018-04-26 18:10:21 install lsb-base:all <none> 9.20170808ubuntu1
2018-04-26 18:10:21 status half-installed lsb-base:all 9.20170808ubuntu1
2018-04-26 18:10:21 status unpacked lsb-base:all 9.20170808ubuntu1
2018-04-26 18:10:21 status unpacked lsb-base:all 9.20170808ubuntu1
